,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,from Low,from High,Price 31122018,Price 31122019,P 2018,P 2019,change
10,AES,AES Corp,Utilities,10.06,9.96,4.961832,-1.72,12.05,10.0,6920851212,3001000000.0,0.65951383,2.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,0.8348547717842324,0.9940357852882703,14.46,19.90,14.46,19.9,0.37621023513139673
11,AET,Aetna Inc,Health Care,178.0,18.11,1.1019889999999999,5.75,194.4,119.51,59197016353,4139000000.0,0.9923546,3.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET,0.9156378600823045,0.6714044943820225,,,0.0,0.0,
12,AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.6387395,12.07,216.995,148.81,10442174371,1261400000.0,4.591235,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG,0.8254107237493952,0.8308302160683378,,,0.0,0.0,
13,AFL,AFLAC Inc,Financials,83.25,12.24,2.4299066000000002,11.01,91.73,68.8,33422948000,0.0,1.5429343999999998,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,0.9075547803335877,0.8264264264264264,45.56,52.90,45.56,52.9,0.1611062335381912
14,A,Agilent Technologies Inc,Health Care,65.05,27.45,0.8756978999999999,2.1,75.0,49.23,21984606918,1094000000.0,6.493563,4.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,0.8673333333333333,0.7568024596464258,67.46,85.31,67.46,85.31,0.2646012451823305
15,APD,Air Products & Chemicals Inc,Materials,152.8,24.22,2.7811136000000003,13.66,175.17,133.6301,34638387128,2542500000.0,4.1163682999999995,3.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,0.872295484386596,0.8745425392670156,160.05,234.99,160.05,234.99,0.4682286785379568
16,AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0.0,1.79,69.56,44.65,10906904066,789517000.0,5.854652400000001,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,0.8983611270845313,0.7145143222915666,61.08,86.38,61.08,86.38,0.414210870988867
17,ALK,Alaska Air Group Inc,Industrials,64.04,9.66,1.9928383,8.28,101.43,59.25,7903173734,1665000000.0,0.9801091999999999,2.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK,0.6313713891353643,0.925202998126171,60.85,67.75,60.85,67.75,0.11339359079704181
18,ALB,Albemarle Corp,Materials,105.18,26.03,1.2004126,5.66,144.99,90.35,11782151266,686030000.0,5.3666205,2.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,0.7254293399544797,0.8590036128541547,77.07,73.04,77.07,73.04,-0.052290125859608017
19,ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,3.0262272,1.57,134.37,106.89,12043374429,0.0,10.492155,2.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,0.8527201012130684,0.932885320300227,115.24,161.58,115.24,161.58,0.40211732037487
20,ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0.0,1.77,149.34,96.18,26172439795,1072000000.0,9.720562,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN,0.7263291817329584,0.8866967825205126,97.36,108.15,97.36,108.15,0.11082580115036977
21,ALGN,Align Technology,Health Care,220.71,56.59,0.0,2.84,287.32,92.61,18788041378,380326000.0,13.138819,16.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN,0.7681678964221078,0.41960038058991433,209.43,279.04,209.43,279.04,0.3323783603113213
22,ALLE,Allegion,Industrials,77.32,21.07,0.8004001999999999,2.37,89.81,66.72,7599609494,531800000.0,4.265232,20.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE,0.860928627101659,0.8629073978272116,79.71,124.54,79.71,124.54,0.5624137498431818
23,AGN,"Allergan, Plc",Health Care,164.2,10.65,1.643289,38.35,256.8,160.07,56668833898,-2888100000.0,4.820115,0.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN,0.6394080996884735,0.9748477466504263,133.66,191.17,133.66,191.17,0.43027083645069575
24,ADS,Alliance Data Systems,Information Technology,240.6,13.02,0.9240122,14.13,278.33,209.0,13632608582,2143200000.0,1.7282297999999998,8.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS,0.8644414903172494,0.8686616791354946,150.08,112.20,150.08,112.2,-0.25239872068230285
25,LNT,Alliant Energy Corp,Utilities,37.14,19.86,3.5733333,1.65,45.55,36.84,8670163500,1168400000.0,3.4331481,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT,0.8153677277716795,0.9919224555735058,42.25,54.72,42.25,54.72,0.2951479289940828
26,ALL,Allstate Corp,Financials,90.06,13.26,1.5278208,4.68,105.36,77.73,34759468905,0.0,1.2085556,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL,0.8547835990888383,0.86309127248501,82.63,112.45,82.63,112.45,0.3608858768001937
27,GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,0.0,22.27,1198.0,824.3,733823966137,34217000000.0,6.801692,4.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL,0.8411602671118531,0.8179932718738525,1044.96,1339.39,1044.96,1339.39,0.2817619813198591
28,GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,0.0,22.27,1186.89,803.1903,728535558140,32714000000.0,6.772653,4.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG,0.8438187195106538,0.8019713036184999,1035.61,1337.02,1035.61,1337.02,0.29104585703112185
29,MO,Altria Group Inc,Consumer Staples,64.05,18.89,3.9526875,5.31,77.79,60.01,126985101434,10773000000.0,4.945682,10.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO,0.8233706131893559,0.9369242779078845,49.39,49.91,49.39,49.91,0.01052844705405942
30,AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,0.0,6.16,1498.0,812.5,685873374731,16132000000.0,3.927053,24.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN,0.9015353805073432,0.6016290262865606,1501.97,1847.84,1501.97,1847.84,0.23027756879298522
31,AEE,Ameren Corp,Utilities,52.59,20.38,3.4404964,2.68,64.89,51.81,12905744906,2298000000.0,2.693119,1.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE,0.8104484512251503,0.9851682829435253,65.23,76.80,65.23,76.8,0.1773723746742295
32,AAL,American Airlines Group,Industrials,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352,5761000000.0,0.58022565,6.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL,0.8226134055517942,0.8067901234567901,32.11,28.68,32.11,28.68,-0.10682030520087205
33,AEP,American Electric Power,Utilities,63.38,17.32,3.8479443,1.24,78.07,62.69,31701916517,4450800000.0,2.7489934,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP,0.8118355322146792,0.989113284947933,74.74,94.51,74.74,94.51,0.26451699223976477
34,AXP,American Express Co,Financials,88.34,15.0,1.4955667,2.9,102.385,75.51,80410990000,0.0,2.273575,3.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP,0.8628217023978122,0.8547656780620331,95.32,124.49,95.32,124.49,0.3060218212337391
35,AIG,"American International Group, Inc.",Financials,58.28,23.22,2.1167521000000002,-0.76,67.3,57.85,54360073164,0.0,1.4686536000000001,0.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG,0.8659732540861813,0.9926218256691832,39.41,51.33,39.41,51.33,0.3024613042375033
36,AMT,American Tower Corp A,Real Estate,133.57,20.68,2.0,1.97,155.28,103.36,59213892640,3792383000.0,11.954137,9.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT,0.8601880473982483,0.7738264580369844,158.19,229.82,158.19,229.82,0.45280991213098165
37,AWK,American Water Works Company Inc,Utilities,76.06,26.23,2.129297,2.63,92.37,71.89,13906146184,1711000000.0,5.553833,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK,0.8234275197574971,0.9451748619510912,90.77,122.85,90.77,122.85,0.35342073372259564
38,AMP,Ameriprise Financial,Financials,152.5,12.41,2.0735743,9.44,183.9,118.84,23472126000,0.0,1.9493247,3.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP,0.8292550299075584,0.7792786885245901,104.37,166.58,104.37,166.58,0.596052505509246
39,ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,1.6132456,1.64,106.27,71.9,20587704101,991884000.0,0.17396984,9.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC,0.8614848969605722,0.7853631895139269,74.40,85.02,74.4,85.02,0.14274193548387082
40,AME,AMETEK Inc,Industrials,72.05,27.61,0.75512403,2.94,78.51,51.31,17139651923,1025763000.0,4.015368,4.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME,0.9177174882180613,0.712144344205413,67.70,99.74,67.7,99.74,0.4732644017725258
41,AMGN,Amgen Inc,Health Care,173.12,13.76,2.9751507999999998,2.57,201.23,152.16,128133340000,11945000000.0,5.581919999999999,3.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN,0.8603090990408986,0.8789279112754158,194.67,241.07,194.67,241.07,0.23835208301227717
42,APH,Amphenol Corp,Information Technology,84.44,25.9,0.8608971,2.05,93.62,67.26,26955335395,1671700000.0,3.85675,6.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH,0.9019440290536209,0.796541923259119,81.02,108.23,81.02,108.23,0.33584300172796855
43,APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,1.7029973000000003,-5.9,70.0,39.96,32129091747,3115000000.0,3.9682212,2.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC,0.8028571428571429,0.7110320284697509,,,0.0,0.0,
44,ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,2.108963,2.11,98.38,74.65,31811578855,1663384000.0,8.003910000000001,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI,0.8404147184387072,0.9028785679729076,85.83,118.84,85.83,118.84,0.38459746009553775
45,ANDV,Andeavor,Energy,96.9,18.78,2.3454582999999998,6.13,121.71,75.11,15696449735,2548000000.0,0.6618165,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV,0.7961547941828938,0.7751289989680082,,,0.0,0.0,
46,ANSS,ANSYS,Information Technology,148.84,42.53,0.0,2.99,164.9,94.52,13155919129,458515000.0,16.8134,5.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS,0.9026076409945422,0.6350443429185703,142.94,257.41,142.94,257.41,0.8008255211977056
47,ANTM,Anthem Inc.,Health Care,230.57,19.23,1.2581781,14.36,267.95,156.81,61221978627,0.0,0.6696521,2.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM,0.8604963612614294,0.6800971505399662,262.63,302.03,262.63,302.03,0.15002094200967142
48,AON,Aon plc,Financials,136.05,20.8,1.0245464,4.66,152.78,113.2201,35123123422,1858000000.0,3.4972682,6.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON,0.8904961382379893,0.8321947813303932,145.36,208.29,145.36,208.29,0.4329251513483763
49,APA,Apache Corporation,Energy,37.73,-251.53,2.528445,-3.72,57.9,38.14,15066280977,3265000000.0,3.6513660000000003,2.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA,0.6516407599309153,1.0108666843360723,26.25,25.59,26.25,25.59,-0.025142857142857133
50,AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.8765620000000003,1.95,46.855,38.85,6156884142,874871000.0,6.187621,4.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV,0.8154946110340413,1.0167495420047108,43.88,51.65,43.88,51.65,0.17707383773928886
51,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020,79386000000.0,3.4586093,5.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,0.8614658523042754,0.8451176281018369,157.74,293.65,157.74,293.65,0.8616077088880434
52,AMAT,Applied Materials Inc,Information Technology,45.75,14.08,0.8215239,3.17,60.89,34.58,51296481503,4336000000.0,4.7020154000000005,5.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT,0.7513549022828051,0.7558469945355191,32.74,61.04,32.74,61.04,0.8643860720830787
53,APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,0.9392678,5.05,96.91,82.97,24906530300,2370000000.0,1.5025798000000001,7.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV,0.9211639665669178,0.9294275792539487,61.57,94.97,61.57,94.97,0.5424719831086569
54,ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,3.1761081,2.17,47.44,38.59,23594770663,2927000000.0,0.52478915,1.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM,0.8716273187183812,0.9332527206771464,40.97,46.35,40.97,46.35,0.13131559677813032
55,ARNC,Arconic Inc,Industrials,24.45,20.21,0.9561753000000001,-0.21,31.17,21.755,12123300000,1517000000.0,0.94214815,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC,0.7844080846968238,0.8897750511247443,16.86,30.77,16.86,30.77,0.8250296559905101
56,AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,2.4807137999999997,2.54,70.55,53.63,11968488290,888000000.0,1.9400215,2.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG,0.9128277817150958,0.8327639751552794,73.70,95.23,73.7,95.23,0.2921302578018996
57,AIZ,Assurant Inc,Financials,85.16,33.27,2.5313594,9.08,106.985,85.91,4653993594,0.0,0.9821866,1.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ,0.795999439173716,1.0088069516204792,89.44,131.08,89.44,131.08,0.4655635062611809
58,T,AT&T Inc,Telecommunication Services,35.57,12.14,5.4156512999999995,4.76,42.7,32.55,226713270000,49653000000.0,1.4083152,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T,0.8330210772833723,0.9150969918470621,28.54,39.08,28.54,39.08,0.36930623686054664
59,ADSK,Autodesk Inc,Information Technology,104.81,-77.07,0.0,-2.61,131.1,81.75,24348294504,-378100000.0,16.50682,224.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK,0.7994660564454615,0.779982826066215,128.61,183.46,128.61,183.46,0.4264831661612627
60,ADP,Automatic Data Processing,Information Technology,108.25,29.34,2.2190912,3.85,125.24,95.5,50337702249,2767400000.0,4.0483294,12.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP,0.8643404663046951,0.8822170900692841,131.12,170.50,131.12,170.5,0.30033557046979853
61,AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,0.0,44.09,797.89,491.13,19922021415,2347304000.0,1.8510429,136.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO,0.900587800323353,0.6834824721321513,838.34,1191.31,838.34,1191.31,0.42103442517355716
62,AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,3.7149355,6.36,199.52,156.01,21856547430,1331579000.0,10.251216000000001,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB,0.7765637530072173,1.0069058990576998,174.05,209.70,174.05,209.7,0.20482619936799762
63,AVY,Avery Dennison Corp,Materials,110.77,22.11,1.5682174999999998,3.11,123.67,78.471,10104814319,831200000.0,1.5206499,8.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY,0.8956901431228268,0.7084138304595108,89.83,130.82,89.83,130.82,0.4563063564510743
64,BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,2.4991322,-0.31,57.73,28.03,32995712852,285000000.0,1.9390044999999998,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE,0.4763554477741209,1.0192727272727273,,,0.0,0.0,
65,BLL,Ball Corp,Materials,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518,1317000000.0,1.5696398999999999,3.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL,0.888991674375578,0.9261186264308013,45.98,64.67,45.98,64.67,0.4064810787298827
66,BAC,Bank of America Corp,Financials,29.74,16.34,1.536,1.55,32.67,22.07,321478200969,0.0,3.2011874,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC,0.9103152739516375,0.7420981842636181,24.64,35.22,24.64,35.22,0.4293831168831168
67,BAX,Baxter International Inc.,Health Care,62.56,25.12,0.97635394,1.29,72.58,48.15,35713732553,1832000000.0,3.4394413999999998,3.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX,0.861945439515018,0.769661125319693,65.82,83.62,65.82,83.62,0.2704345183834702
68,BBT,BB&T Corporation,Financials,51.07,16.26,2.4526197999999995,2.74,55.99,41.17,42087562920,0.0,3.4552107000000003,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT,0.9121271655652795,0.8061484237321324,,,0.0,0.0,
69,BDX,Becton Dickinson,Health Care,211.44,22.28,1.3518385,4.65,248.3888,175.66,50910180308,1537000000.0,5.6912947,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX,0.8512461109357587,0.830779417328793,225.32,271.97,225.32,271.97,0.2070388780401209
70,BRK.B,Berkshire Hathaway,Financials,191.42,30.43,0.0,9.76,217.62,160.93,261401203633,0.0,1.4328232,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B,0.8796066538002021,0.8407167485111274,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,0.0,0.0,
71,BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,19.22,1.9085041,3.81,78.59,41.67,20831186176,2555000000.0,0.76715523,4.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY,0.8753022012978751,0.6057566506759703,52.96,87.80,52.96,87.8,0.6578549848942596
72,BIIB,Biogen Inc.,Health Care,311.79,14.3,0.0,11.94,370.57,244.28,69157726427,6511400000.0,5.737439,5.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB,0.8413794964514127,0.7834760576028736,300.92,296.73,300.92,296.73,-0.013923966502724983
73,BLK,BlackRock,Financials,509.38,22.49,2.1643557999999996,30.3,594.52,368.0,85907759858,5684000000.0,6.9158196,2.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK,0.8567920339097087,0.7224468962267855,392.82,502.70,392.82,502.7,0.27972099180286136
74,HRB,Block H&R,Financials,25.19,12.29,3.7296038,1.92,31.8,19.85,5381433872,894754000.0,2.0188456,205.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB,0.7921383647798742,0.7880111155220326,25.37,23.48,25.37,23.48,-0.0744974379188017
75,BA,Boeing Company,Industrials,329.66,27.29,1.9648397000000002,13.47,361.45,163.69,205617405233,12476000000.0,2.1560605,182.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA,0.9120486927652511,0.4965418916459382,322.50,325.76,322.5,325.76,0.010108527131782896
76,BWA,BorgWarner,Consumer Discretionary,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445,867900000.0,1.5831376,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA,0.8921332875300584,0.7227570273392376,34.74,43.38,34.74,43.38,0.24870466321243523
77,BXP,Boston Properties,Real Estate,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487,1546846000.0,6.839459,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP,0.7999000927709984,0.9980372914622179,112.55,137.86,112.55,137.86,0.22487783207463363
78,BSX,Boston Scientific,Health Care,25.2,20.0,0.0,0.07,29.93,23.29,36142506007,1726000000.0,4.0556849999999995,4.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX,0.8419645840294019,0.9242063492063493,35.34,45.22,35.34,45.22,0.27956989247311803
79,BHF,Brighthouse Financial Inc,Financials,55.44,22.63,0.0,-24.62,75.0,52.751000000000005,7066613254,0.0,1.4188358,0.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF,0.7392,0.9514971139971141,,,0.0,0.0,
80,BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,2.5546862999999997,2.65,66.1,51.12,102506501960,5170000000.0,6.5032309999999995,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY,0.9484114977307111,0.8154410591800925,51.98,64.19,51.98,64.19,0.2348980377068104
81,AVGO,Broadcom,Information Technology,229.57,15.94,2.9488583,4.01,285.68,202.61,92791974933,7016000000.0,6.961892999999999,4.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO,0.8035914309717166,0.8825630526636756,254.28,316.02,254.28,316.02,0.2428032090608776
82,BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,1.1216964,1.7,69.9028,45.415,5498033502,1139000000.0,1.8411398,12.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B,0.9059722929553609,0.7171166903521238,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.,0.0,0.0,
83,CHRW,C. H. Robinson Worldwide,Industrials,90.47,26.0,1.987685,3.57,100.18,63.41,12932483889,868096000.0,0.85282737,9.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW,0.9030744659612696,0.7008953244169338,84.09,78.20,84.09,78.2,-0.07004400047568082
84,CA,"CA, Inc.",Information Technology,32.66,14.32,3.0,1.85,36.56,30.45,14175422936,1613000000.0,3.3742425000000003,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA,0.8933260393873084,0.932333129210043,,,0.0,0.0,
85,COG,Cabot Oil & Gas,Energy,23.01,60.55,1.0269575999999998,-0.92,29.57,21.4,10808821635,404951000.0,8.636728999999999,4.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG,0.7781535339871491,0.9300304215558451,22.35,17.41,22.35,17.41,-0.2210290827740493
86,CDNS,Cadence Design Systems,Information Technology,36.82,34.09,0.0,0.74,46.0,29.01,10890625200,455607000.0,5.751737,10.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS,0.8004347826086956,0.7878870179250408,43.48,69.36,43.48,69.36,0.5952161913523459
87,CPB,Campbell Soup,Consumer Staples,44.83,14.84,3.125,2.89,64.23,43.5,13467193376,1683000000.0,2.3898203,7.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB,0.6979604546162229,0.9703323667187151,32.99,49.42,32.99,49.42,0.4980297059715064
88,COF,Capital One Financial,Financials,91.8,11.85,1.6306564,3.45,106.5,76.05,47637260000,0.0,1.5931405,0.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF,0.8619718309859155,0.8284313725490196,75.59,102.91,75.59,102.91,0.36142346871279263
89,CAH,Cardinal Health Inc.,Health Care,66.63,12.29,2.8394227,4.04,84.88,54.66,20493281175,1913000000.0,0.21131156,3.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH,0.784990574929312,0.820351193156236,44.60,50.58,44.6,50.58,0.13408071748878925
